series_id,name,units,type,month
A3535097J,Chain Volume Measures ;  Passenger transport,$ Millions,Seasonally Adjusted,3
A3535098K,Chain Volume Measures ;  Freight transport,$ Millions,Seasonally Adjusted,3
A3535099L,Chain Volume Measures ;  Other transport,$ Millions,Seasonally Adjusted,3
A3535100K,Chain Volume Measures ;  Postal and courier transport,$ Millions,Seasonally Adjusted,3
A3535101L,Chain Volume Measures ;  Travel,$ Millions,Seasonally Adjusted,3
A3535102R,Chain Volume Measures ;  Other services,$ Millions,Seasonally Adjusted,3
A3534725T,Implicit Price Deflators ;  Services,Index Numbers,Original,3
A3534726V,Implicit Price Deflators ;  Manufacturing services on physical inputs owned by others,Index Numbers,Original,3
A3534727W,Implicit Price Deflators ;  Maintenance and repair services n.i.e.,Index Numbers,Original,3
A3534728X,Implicit Price Deflators ;  Transport,Index Numbers,Original,3
A3534729A,Implicit Price Deflators ;  Passenger transport,Index Numbers,Original,3
A3534730K,Implicit Price Deflators ;  Freight transport,Index Numbers,Original,3
A3534731L,Implicit Price Deflators ;  Other transport,Index Numbers,Original,3
A3534732R,Implicit Price Deflators ;  Postal and courier transport,Index Numbers,Original,3
A3534733T,Implicit Price Deflators ;  Travel,Index Numbers,Original,3
A3534738C,Implicit Price Deflators ;  Other services,Index Numbers,Original,3
A3534945V,Implicit Price Deflators ;  Services,Index Numbers,Seasonally Adjusted,3
A3534946W,Implicit Price Deflators ;  Manufacturing services on physical inputs owned by others,Index Numbers,Seasonally Adjusted,3
A3534947X,Implicit Price Deflators ;  Maintenance and repair services n.i.e.,Index Numbers,Seasonally Adjusted,3
A3534948A,Implicit Price Deflators ;  Transport,Index Numbers,Seasonally Adjusted,3
A3534949C,Implicit Price Deflators ;  Passenger transport,Index Numbers,Seasonally Adjusted,3
A3534950L,Implicit Price Deflators ;  Freight transport,Index Numbers,Seasonally Adjusted,3
A3534951R,Implicit Price Deflators ;  Other transport,Index Numbers,Seasonally Adjusted,3
A3534952T,Implicit Price Deflators ;  Postal and courier transport,Index Numbers,Seasonally Adjusted,3
A3534953V,Implicit Price Deflators ;  Travel,Index Numbers,Seasonally Adjusted,3
